state,municipality
Chiapas,Cintalapa
Chihuahua,Rosario
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional
Guerrero,Apaxtla
Oaxaca,Miahuatlán de Porfirio Díaz
Oaxaca,San Blas Atempa
Oaxaca,San Juan Mixtepec -Dto. 08 -
Oaxaca,San Juan Mixtepec -Dto. 26 -
Oaxaca,San Martín de los Cansecos
Oaxaca,San Pedro Mixtepec -Dto. 22 -
Oaxaca,San Pedro Mixtepec -Dto. 26 -
Oaxaca,Santiago Chazumba
Oaxaca,Santo Domingo Tonaltepec
Oaxaca,Villa Hidalgo
Oaxaca,Zapotitlán del Río
San Luis Potosí,Ahualulco
Tlaxcala,Altzayanca
